amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
"2,036",18 New Metal Kennels & Fencing,Euro,"Aug 1, 2019",of €13k goal,34,"ITS REALLY URGENT!!!! It looks like patchwork but not
    the pretty type that makes you feel warm and fuzzy inside. It’s made of rusted metal grids
    and dilapidated damp wood that had been added on again and again to
    keep the kennels from collapsing. In some cases we have failed and
    dogs have managed to escape their kennels and get into a neighboring
    kennel. Most times this results in injury. Injuries result in unnecessary
    pain and discomfort and also high vet bills so in an attempt to
    improve the living conditions of our dogs and ensure their safety we
    need more new kennels. Sturdy and safe kennels. These old wooden kennels and
    damaged Playgrounds fencing you see on the video & photos will
    be replaced with 18 new Metal, Sturdy and safe kennels and new
    playground fencing. The cost comes to the amount of €13000, money we
    don’t have but need to find asap in order to avoid further injuries. We are counting on your help to
    raise the funds needed. PLEASE HELP our doggies to stay safe. THANK YOU!!!",https://fundrazr.com/f1Vxpc
"1,190",Help Karmel go to Middlebury!,U.S. Dollar,"Jun 26, 2019",of $3k goal,23,"Karmel has gotten a scholarship to attend Middlebury College in
  Vermont! This Palestinian student graduated with a degree in IT from
  Bethlehem University and was admitted to Middlebury, one of America's
  premier language institutes, to study Hebrew. She is active in
  promoting friendships between Jews and Muslims, and this is another
  step towards that goal. We need to raise funds for the deposit, visa,
  flight, and living expenses for the summer course. This is a dream
  come true for Karmel and the first time she will travel outside her
  birthplace. Please help, we need to raise funds as soon as possible to
  secure her spot. You can donate here or via paypal: https://www.paypal.me/karmelsalah Lets help make a dream come true!",https://fundrazr.com/71VdTa
"6,365",FOOD SHORTAGE until The Bark Ark debts for food in FEBRUARY are paid,Euro,,of €6.7k goal,121,"The Bark Ark needs more than 2 tons of food per week to keep the dogs
  fed and healthy. They are outside day and night, no matter the
  weather. They need something to keep them going and the only thing we
  can provide for them is food. Without enough food there will be much
  more fights between the dogs, much more injured or even dead dogs. We
  have to prevent this!! For now the only way to save some money is to ration the food to
  smaller portions. If we can´t raise a considerable amount very
  quickly, this wonderful project is on the edge to failure. We can´t
  let that happen! More than 150 dogs find warm and loving homes
  each year and we are working on increasing these numbers. But we have
  to be able to keep them safe until then. Can you please help us to provide food for the survival of the dogs
    at The Bark Ark! Each donation helps! No amount is too small! FOOD and medical care are the basics that Bojan must provide
      for the over 600 dogs at The Bark Ark until they found a new
    home. They come from a hard life as strays on the streets
    of Prnjavor, Samac, Celinac, Modrica and other cities in Northern
    Bosnia. Others are surrendered by their heartless owners after a
    life on a chain because they are too old or got sick. All of them
    have one thing in common: THEY NEED TO EAT TO SURVIVE! IMPORTANT NOTICE: If you donate via this
    fundraiser, you can adjust the tip amount to 0 before sending your
    donation. Click on the ""Change tip amount"" link, go to
    ""Other"" and type in 0 before you confirm with ""Count
    me in"". This way you will not be charged any PayPal or other
    fees for your donation!! You can donate directly to our PayPal
      barkarkbosnia@gmail.com, just mark for ""Food"". We will
      add such donations as OFFLINE donations to the fundraiser. Since
      June 1st PayPal unfortunately charges 1.99 Euro per transaction
      from european countries or the Americas to Bosnia. Breakdown of cost for February FOOD: 8000 kilo / 400 bags of dry food         6000 Euro 167
    cans of wet food                              200 Euro subtotal                                                  
    6200 Euro 8% fee (PayPal, Fundrazr)                       496 Euro total                                                        
      6696 Euro This fundraiser is co-run by The Bark Ark admin team and
        AWABosnia, Animal Welfare Advocates for Bosnia Please join the Facebook group supporting Bojan and the dogs of Prnjavor. More about AWABosnia on Facebook: AWAB FB Page AWAB FB Group And to find out more about the horrors that strays
        experience in Bosnia please go to: In Memory of Vucko",https://fundrazr.com/21VJV5
amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
"1,800",Help Team Shumate go Over The Edge for YWCA Charleston!,U.S. Dollar,,of $1.3k goal,23,,https://give.overtheedge.events/01VIDa
"4,788",Ride to Give - Fan for North Georgia Equine in Motion's Outdoor Riding Arena,,,,,"Amy Wallace of Cumming, GA has a passion and talent for
    helping special needs children . Amy has been an
  occupational therapist for 15 years, with the last seven focused on
  treating upper extremity injuries.  In 2010 she obtained credentials
  as a Certified Hand Therapist, and in 2013, she began combining her
  love of horses and passion for healing by offering hippotherapy and
  equine assisted therapy. In 2015, Amy started North Georgia Equine in Motion which currently serves over 100 children weekly, providing
    occupational therapy for both clinic and equine-related
  activities. Her clients typically range in age from two years
  old to 21, but she has also served adults that have MS or Parkinson’s. Hippotherapy is a standardized
  curriculum that was formulated to utilize the horse’s unique quality
  of motion for physical, occupational and speech therapy.  Sessions are
  performed on horseback, led by licensed therapists and trained
  volunteers, to facilitate improvements in balance, gait, sensory
  processing, visual and perceptual skills, problem-solving, and
  social-emotional capacities. Georgia Equine in Motion’s facility
  includes a new large arena, specially designed mounting ramp, ample
  parking and seating for guests, as well as PATH
    trained instructors. Currently Georgia Equine in Motion has four skilled therapy horses… Waylon, an 8-year-old Paint Quarter Horse Cindy, a 12-year-old Quarter Horse Jesse, an 11-year-old Haflinger Mare Chip, a 9-year-old Quarter Horse In 2014, Amy formed a non-profit agency, North Georgia
  Equine-N-Motion, to provide scholarships for children without
  financial means or insurance to cover hippotherapy, as well as,
  providing specialized equipment and covered arena to allow for
  year-long riding. These scholarships have been life-changing as the
  children who might not have been able to afford it are now able to
  participate in hippotherapy and are seeing tremendous results. Because most of her clients have unique medical requirements, Amy’s
  next big goal is to make her outdoor arena better suited to serve all
  of her children, especially those who can’t spend a long time in the
  heat. It gets swelteringly hot in Georgia during the summer and can be
  very hard on the horses and children. Many of her clients who have
  epilepsy are sensitive to heat and can experience increased seizure
  activity during the hot weather. Also, her clients with respiratory
  conditions and spinal cord injuries have a decreased ability to
  tolerate warmer environments. Amy is in need of a very large outdoor ceiling fan for the
    riding arena to assist with keeping both the horses and children
    cooler in the hot, humid Georgia weather. After much
  research, she has decided to go with a fan from Big Ass Fans® , a leader in the large fan industry. The air movement created by Big Ass Fans® can
  cool the riding area up 10 degrees as well as diluting inflammatory
  ammonia in the air, reducing odors commonly found in stables and
  riding arenas. Though big and powerful, these large-diameter
    fans are also incredibly energy efficient because they use very
    small motors in relation to the volume of air movement generated.
    The fan, once installed in the outdoor area at North Georgia Equine
    in Motion, will create a comfortable and natural environment
    allowing for more efficient training time, minimizing heat-related
    fatigue for the therapy horses and Amy's clients. Along with the
    cooling effect, Big Ass Fans® help improve indoor air quality her
    clients who have respiratory and allergy issues. When Ride to Give heard about all amazing work North Georgia
    Equine in Motion and Amy’s desire to make the environment of the
    outdoor riding arena better for her clients, we knew we had to
  help . Your donations to our fundraiser will help purchase and
  install a Powerfoil 8 from Big Ass Fans®, one of the best
  fans on the market for use in an equestrian setting . Amy is an amazing therapist who goes above and beyond for her
    clients and supporting our fundraiser for North Georgia Equine in
    Motion is a way for Ride to Give to widen the circle of those we
    help. Please help us by making a tax-deductible donation to Ride to Give. You may learn more about North Georgia Equine in Motion by
      following them on Facebook . *Contributions are solicited with the understanding that the
      donee organization (Ride to Give, 501c3 tax ID 46-2952297) has
      complete discretion and control over the use of all donated funds.
      Questions about how your donation is used can be answered on our
      website at http://bit.ly/2g1vWSe.",https://fund.ridetogive.com/71UmO6
"2,090",Help the Hilton Saint John Team go Over The Edge for KV Oasis!,Canadian Dollar,,of $1k goal,44,,https://give.overtheedge.events/a1Usw5
"4,055",Over The Edge Erie #takethetower,U.S. Dollar,,of $60k goal,63,"READY TO BE PART OF SOMETHING
    SPECIAL? #takethetower EVENT
  DATE: July 26, 2019 LOCATION: Bicentennial
      Tower at Dobbins Landing Safe Harbor Behavioral Health is joining the Achievement Center in
  going Over the Edge on Friday, July 26. Partnering with Over the Edge
  Global and the Port Authority of Erie, the two nonprofits will send
  participants “Over the Edge” of Erie’s iconic Bicentennial Tower. Over the Edge Erie will benefit both the Achievement Center and Safe
  Harbor! Participants will fundraise for either organization in support
  of behavioral health services provided to our community. This
  thrilling opportunity challenges each individual to lower themselves
  down 138 feet while enjoying the majestic views of Erie’s Bayfront. How do I participate? Sign up now to become an Edger. Set up your personal fundraising page – include a photo and bio! Aim to reach the $1,000 fundraising goal. Experience the once-in-a-lifetime opportunity to rappel down the
    Bicentennial Tower. Celebrate your success of supporting the Achievement Center or Safe Harbor Behavioral Health . Special thanks to
    the event’s major sponsors: Erie News Now and UPMC Health Plan. We hope to see you
    #takethetower. Sign
        up now , or make a donation!",https://give.overtheedge.events/AchievementCtr2019
"3,766",Help Refugees Rebuild Their Lives in Iowa,U.S. Dollar,,of $10k goal,50,"Today is World Refugee Day, and a group of Franciscan Sisters
    just gave the Iowa City Catholic Worker House a $10,000 gift to
    further our work helping asylum-seekers from around the world find
    safety in the United States. Their award is a testament and recognition of the quality of the
    services we have demonstrated and our good work to date sponsoring
    refugees and helping them rebuild their lives in Iowa. In the last two years, we have housed dozens of women and
    children from all over the world. We work closely with human rights
    groups on the border to win freedom for asylum-seekers being held in detention camps , reunite them
    with their families if possible, and help them find a new home here
    in the U.S., starting in our sanctuary community in Iowa City. Ten thousand dollars is a great start to all the new work that
    is currently in front of us, but we need you to give today –
    anything you can – to match this single gift as a collective
    response from our entire Catholic Worker House community. With all of your gifts combined, we want to match the $10,000
    the Franciscan Sisters have so generously and prayerfully bestowed
    upon us to serve the immigrant and the stranger in our midst. Your
    gifts will allow us to do the following: Mount a robust asylum legal defense for a Honduran widow and
      her disabled son, who fled the country last year on foot with the
      Migrant Caravan. Pay legal fees for an expecting El Salvadoran mother so she
      can stay in the country with her baby, who will be born a U.S.
      citizen any day now; as well as for her husband, who was deported
      to Mexico after they were both detained at the border. Sponsorship costs to free several Honduran men from the
      detention camps at the border. These young men are all married but
      were forcibly separated from their wives, have strong asylum
      cases, and verifiably good characters. Other costs and expenses associated with refugee sponsorship
      and resettlement, including 1) transitional housing, 2) medical
      and prenatal care, 3) education and school enrollment, 4) English
      tutoring, 5) extracurricular activities, 6) transportation, 7)
      culturally-appropriate food and clothing, 8) religious services,
      and more. General support for all aspects of the hospitality ministry
      that makes our refugee sponsorship possible, including maintaining
      and upgrading our historic Victorian home, Free Little Food
      Pantry, weekend soup kitchen, and open house, drop-in center hours. Will you join the Franciscan Sisters’ prayerful and powerful
    witness on World Refugee Day and give today? Please donate now - and know that your gifts will be stewarded
    in the fashion we have already demonstrated to help these refugee brothers and sisters in Christ. God bless you, Emily Sinnwell, David Goodner, and Araceli Benitez
  Moya Trustees, Iowa City Catholic Worker House P.O. Box
  3324 Iowa City, Iowa  52244 www.iowacitycatholicworker.org www.facebook.com/iccatholicworker iowacitycatholicworker@gmail.com",https://fundrazr.com/cwhrefugee
"1,125",Sending Brian Over the Edge,U.S. Dollar,,of $1.2k goal,18,"Please help me send my husband, Brian Farkas, OVER THE
  EDGE for a great local cause. Brian wants to join 100 other community members to rappel off a tall
  building in Charleston West Virginia in June. He is looking forward to
  the adrenaline rush,  but hopes it also comes with financial support
  from friends and family. Dollars raised will support our local YWCA's efforts to promote
  racial justice work in our community. Other great YWCA programs
  include a shelter for homeless women and families, transitional
  housing for elderly abuse survivors and a strong and effective
  domestic violence program. At a time when our country is more divided than I ever remember, I
  love how individuals in our community are supporting this important work. Brian, our granddaughter Ella and I want to raise money for, as  8
  year old Ella says, ""To help all people in Charleston to come
  together and live in peace and fairness.""",https://give.overtheedge.events/f1UDp6
"17,975",Support Entrepreneurs in Tanzania!,U.S. Dollar,,of $25k goal,35,"Kernal Angus Adventures is a ragtag band of merry adventurers who travel the world when
    they can, seeking genuine experiences with genuine people. We are
    not afraid to take risks in order to move past “that can’t be done
    here” or “that’s not possible there” and always try to enrich the
    places we visit, leaving them better than we found them. This year, we are climbing Mt. Kilimanjaro and attempting to
      break two Guinness World Records in the process: “Highest Altitude
      Dance Party on Land” and “Highest Altitude Fire Breathing,” in
      order to bring attention to the need for economic empowerment in
      this part of the world. For many generations, seasonal coffee picking was the only
    employment opportunity available to families living in Oldeani, an
    area located in a remote corner of northern Tanzania, in the heart
    of the great Rift Valley. With the lack of opportunity leading to
    annual incomes under $150, parents were left helpless in the fight
    against generational poverty. Too often children had to drop out of
    school or work long hours on top of their studies in order help
    their family make ends meet. Recognizing that economic empowerment is critical to breaking
    the cycle of poverty, the Tanzanian Children's Fund launched their Microfinance Program in 2008 to ensure that
    families in that area could prosper. Today, they are helping more
    than 720 entrepreneurs provide for their families and put food on
    the table. With access to increasing loans, foundational business
    support, and initiatives like their handicrafts project, average
    incomes in the area have more than doubled. We would like to help
    them build on this success by supporting and expanding their loan fund. Our gift to Tanzania, the country through which we will
      travel, is the creation of the Kernal Angus Adventures
        Microloan Fund . A fund that will be administered by the TCF, who will use the
    money raised to provide their 720 clients with additional loans to
    grow their businesses and to expand their loan portfolio to more
    individuals in future years. We will be visiting the Children’s Village and meeting the
    founders of TCF, which has received 4 stars on Charity
    Navigator. We will work with their team to ensure that they
    provide detailed management, oversight and accounting for this fund,
    which is designed to provide funds for many years to come. And, by special arrangement with TCF, all funds received will be
      put directly towards providing loans! We believe there is no greater gift than helping people become
    self-sustainable and realize their potential, and the best way to do
    that is to help them get a fishing pole instead of a fish!  We hope
    that this trip will help bring awareness to this vital need and that
    you will join us in seeking to provide “better lives to good
    people” by making a tax-deductible donation to the fund. All donations are tax deductible, but if you would like to
    contribute by check made out to the Tanzanian Children's Fund, you
    can send your donation to: Tanzanian Children's Fund 9 Waterhouse Street Cambridge, MA 02138 Additional information on TCF and their Microfinance Program: To learn more about the impact of the Tanzanian Children's Fund's
      Microfinance Program , watch the video below! In addition to expanding economic opportunities in the Oldeani area,
  the Tanzanian Children's Fund has developed a holistic, multi-pronged,
  and unique approach to solving poverty by attacking its root causes
  from all sides. Operating programs that improve education outcomes , provide free,
  quality medical care , and support the
  most vulnerable populations by establishing a forever home for orphaned
  children, the Tanzanian Children's Fund is creating lasting change for
  a community of 10,000. To learn more about the Tanzanian Children's Fund (EIN: 74-3087284) and their impact, visit their website , explore their blog , watch their videos , or follow them on social media !",https://fundrazr.com/supportentrepreneurs
"3,200","Help our youth fight stigma, discrimination, and violence",Canadian Dollar,,of $7.5k goal,13,"Mixed Company Theatre produces innovative, socially relevant
    drama as a tool for positive change.  Founded as an artist-run
    collective in 1983, this nationally recognized not-for-profit today
    uses Forum Theatre and interactive arts to educate, engage and
    empower audiences in schools, communities and workplaces. Read more
    about us here: www.mixedcompanytheatre.com For 35 years, Mixed Company Theatre has worked with youth who are
  marginalized and who seek a safe space to share their stories! Through
  the years, our powerful educational interventions and theatre-based
  social justice projects have celebrated the voices, needs, and desires
  of these youth, many of whom have identified as homeless, disabled,
  unemployed, mentally ill or facing other severe social, cultural and
  psychological barriers. As we celebrate our 35th anniversary, we
  stand on the cusp of implementing new ideas, innovative artistic
  interventions, and high quality low-cost projects for our youth to
  address the discrimination, harassment, and stigma that they continue
  to face in their everyday lives. This year we need YOUR help to reach 2000 more youth with our 2 exciting arts-based projects: In Your Head: Forum Theatre tour to address the stigma of mental illness An estimated 1.2 million children and youth in Canada
      are affected by mental illness . Given the high prevalence
    of mental health problems, it is important to consider the immediate
    environment of children and youth, and adapt these environments to
    make them supportive, re-assuring and de-stigmatized zones of
    influence in the young person’s life. Our new project IN YOUR HEAD,
    a Forum Theatre play written by Luciano Iogna, will tour community
    centres and schools to bring marginalized youth together as a
    community to discuss, analyse and rehearse practical, day-to-day
    actions that will create an empathetic and inclusive “zone of
    influence” for mentally ill youth. We had a successful run of this
    important theatrical endeavour addrssing the stigma of mental
    illness and reaching youth across 5000 youth across GTA schools! And
    we're all set to do more with your help. School Lightning Forum Theatre Lightning Forums are MCT's brand new approach to creating a
    platform for intensive learning and exploration for youth. This
    project is founded on the key principles of Forum Theatre that
    celebrate community participation, critical inquiry, and
    experiential learning. This highlight of this project is that
    schools and youth get to choose the topic/they want to focus which
    means youth can build awareness, empathy, and skills to address a
    wide range of relevant themes including bullying, LGBTQ+
    discrimination, gender-based violence and many more. Your support will help us take these innovative arts-based
      educational initiatives to 2000 marginalized youth and build
      dialogue around these important social justice and equity themes. All contributions will receive a tax receipt! How exactly will your funds be used? The $7500 you help us raise will help us compensate artists engaged
  in this unique theatrical endeavour according to industry standards,
  and in turn provide quality programming for youth. How will the $7500 be spent? The ratios below reflect how your contribution will be used towards
  artist fees for youth programming: Playwright Royalties: 9% Director Fees: 10% Actor and Designer Fees: 55% Facilitator and Stage Manager Fees: 18% Transportation and Travel: 8% What impact will your support make? 2000 more youth will learn skills to listen, empathize, analyze
    and stand up for each other when it matters 2000 more vulnerable youth will have access to a safe platform for
    learning, dialogue, and action to address pressing social themes of
    stigma towards mental illness, LGBTQ2S discrimination, and
    gender-based violence Mixed Company will continue to build its capacity to offer high
    quality educational programming to marginalized populations who
    might not be able to cover full artistt fees We want to thank you! All contributors will receive a tax receipt. You will
  also receive a summarized report of how you made a difference by
  support arts-based programming for marginalized youth at the end of
  our 2018/19 season. You will receive free tickets to our performances
  and shows as well as 100% bursaries (transferrable to anyone you know)
  to attend one of our Forum Theatre training workshops that happen all
  year round! Help us celebrate our 35th anniversary by taking theatre to
    more youth. Make a contribution now!",https://fundrazr.com/b1UxV5
"1,010","""Seize Your Moment"" Help Anastasia complete her Film!",Canadian Dollar,,of $5.8k goal,14,"Hello and Welcome!! A little bit about me My name is Anastasia. I am the creator, producer and vision
        keeper of the film ""Seize Your Moment"",
          personal passion project chronicling the medical messiness of
          living with uncontrolled Epilepsy. It has transformed into a mission to empower
      others to reclaim the life changing magic of self-defined health, hope and full
      spectrum healing! I am in the final stages of completing this film. I am so glad you are here. Friends,
          can you help me finalize and fund this film? Are you ready to live in a world where we do not limit each
      other with labels and false limitations? Are you ready to effect
      real and lasting change? Are you ready to activate a mindset & movement dedicated
      to freedom? We
        are so close!! What
            is needed If donations are not possible for you, consider your social
      network, c an you offer: catering? media coverage? A contact to add to the speaking tour? on screen participation? technical support? volunteer crew/PA assistants?.....it takes a village to
        tell a story. I was able to complete the first two acts of the film out of
        pocket, with support from friends and their generous community
        on a one day film shoot. I now need funding for one final push to complete the
        third and final act.                             Set on the
        shores of Lake Ontario with a larger crew & cast.                    The filming is
        set for late July. There are many opportunities to support this film...any
          size donation helps! Below is the modest minimum budget: Salaries (Cast & crew only) $1740 (more is always welcome
      here) Food & Transport: $800 Equipment & Rentals/Props:$1,360 Permits and Insurance: $500 Editing: $200 Promotion: $400 HST - 13% (services) $650 FEEs from funding platform (2.9%) $113 TOTAL $5763.00 This film is about giving a voice to the silent challenges
      bravely navigated by millions living with invisible disabilities. Completing this film is about saying a HELL YES! to the
      knowledge that we can all, reach beyond the boundaries, barriers
      and beliefs that can hold us stagnant - limiting who we are, and
      what we can hope to achieve. This film is about creating the platform for where paradigms
      and perspectives can shift... we can, and will, redefine what is truly possible for us all
      -  with no limits and lots of laughter! Why is this important? This film will: Is the launchpad for an international speaking tour. Open up safe spaces for difficult and often silenced conversations Builds community, compassion and courage Cultivates creativity = g iving each other the skills to truly SEE what is POSSIBLE , not just probable I promise, IT IS ALL
        WORTH IT to arrive on the shores of a self-defined legacy rooted
      in love, laughter and
        i ntentional daily life
        choices. Imagine being a part of wave that carries the messages of
        hope you wished you heard in your darkest hours to others in the
        midst of their own. Imagine being a critical contributor to a movement that
        inspires others to look beyond what makes sense into the
        spectacular gifts that only they can share with the world. Imagine knowing that the $5, $50, $500, $5000 you were
          able to easily offer was the pivotal piece of the puzzle
          missing from a dream becoming a reality. IT IS TRUE. That is what your
        money WILL DO. Impact from the film Already people are speaking to me about how this film &
      the opportunity to be there when I shoot the final act, has
      shifted, supported and surprised. They have found themselves
      celebrating their small wins, courageously opening their hearts,
      welcoming laughter and tender expressions of love, even within the
      most difficult of times. This film has already forged friendships
      across literal oceans, imagine what it will do upon completion!! Here is a description of the film: Seize your Moment is a short film that visually
    narrates the multifaceted traumas and challenges born out in the
    experiences of one woman’s life living with uncontrolled Epilepsy. A
    seven minute journey with paradigm shifting consequences. This film, is one woman’s vulnerability born out in exquisite,
    unflinching detail, to pave a path of stunning strength and
    unapologetic joy into the wider community we all call home. Shot in
    three acts, with the first two completed. This is a film that gently
    calls out to all, to risk sacrificing their familiar discomfort to
    embrace the journey that carry’s us from isolation to connection,
    from connection to true belonging. This film tricks the mind through visual story telling, into a
    wider landscape of possibility. It begs for you to inhabit your body with unapologetic enthusiasm and to bring your
    brilliance to the fore. Inspiring us to engage in the brave work and
    difficult conversations that enable us all to push beyond the upper
    limits of pleasure, potential and power we have been taught by society. This is a story about pushing back against learned helplessness
    and externally imposed limitations born out of true ignorance,
    intense love polluted by deep fear and lack of imagination for what
    is truly possible for ALL people. This is truly about seizing the moment by virtue of simply being
    oneself, an amplifying agent of healing for the world at large. Please join me in supporting her today - this tour is going to
        be epic!",https://fundrazr.com/Seizeyourmoment
"2,010",African Grass Root Hoops 2019 Youth Day Classic Fundraiser,U.S. Dollar,,of $8k goal,17,"African Grassroot Hoops ( AGH ) is a basketball
  development NPO that grows young leaders by providing programs and
  opportunities to support young people from the age of 9 to 18 years in
  developing a sense of competence, usefulness, belonging and
  empowerment through BASKETBALL. This June AGH will be hosting its annual Youth Day Classic
    Basketball Tournament, at the Cape Town International
  Convention Centre. Teams pay for their participation but that is not
  adequate to cover the costs of hosting a tournament of this
  magnitude. It will cost $8000, to build-up the basketball court floor
  and install baskets, which was the biggest hurdle to overcome in
  hosting our first tournament last year. Through this 2 day initiative, our players will learn important
  social skills, strong interpersonal skills, and instil a sense of hope
  in the future all while fostering meaningful relationships with their peers. Funds will be directly spent on: Installation of the basketball court floor and the baskets at the
    convention centre. $7000 Train local community members to assist on the day to ensure
    smooth operations/running of the tournament. $1000 In a country where the majority of young people are overcoming
  stressors in their lives, such as poverty, discrimination, abusive
  situations, addictions, unstable homes, and poor academic performance
  due to injustices of the past, we at AGH, like Nelson Mandela, believe
  that “Sports have the power to change the world. It has the power to
  inspire, the power to unite people in a way that little else does. It
  speaks to youth in a language they understand. Sports can create hope,
  where there was once only despair. It is more powerful than
  governments in breaking down racial barriers. It laughs in the face of
  all types of discrimination. Sports is the game of lovers” With your support, we can continue to grow and scale a platform that
  seeks to foster positive changes through goal setting,
  self-discipline, skill development, and sportsmanship! Your funding will go directly towards funding our Youth Day Classic 2019! Thank you so much for your support! Umuntungumuntungabantu. Meaning I
  am because we are! .",https://fundrazr.com/AGH_GrowsLeaders_YDC2019
"40,763",Support the 8th Annual Aprons For Gloves,Canadian Dollar,,of $185k goal,633,"Founded in 2012, Aprons for Gloves Boxing Association is a non-profit
  organization focused on providing community outreach through the sport
  of boxing. Based in Vancouver’s Downtown Eastside, the organization
  was developed by a small group of professionals and entrepreneurs who
  seized an opportunity to re-establish a historic boxing program for
  at-risk women and youth. The program offers free mentorship and
  training to individuals who may otherwise not have the resources or
  support to participate in such activities. The sport of boxing teaches
  discipline, respect, hard work and self-control. Training results in
  positive self-esteem, good health and camaraderie for its practitioners. Restaurant Rumble 2019 Every year bartenders, chefs, dishwaters, servers, baristas and all
  sorts of individuals from the Gastown community get together to train
  at the Eastside Boxing Club to fight in Restaurant Rumble. In order to attend training, each fighter is required to raise
    $2000 for charity before they can compete at the Rumble. Check out the promo video from 2014 This year, the event will be held Tuesday, August 20th at the
  Commodore Ballroom. If you make a contribution or Follow this
  campaign, you'll be first to hear when tickets go on sale. And you
  will have a chance to see your friend get beat up, live, in person. Make it happen. Click Contribute now.",https://fundrazr.com/Aprons2019
"20,440",3rd Annual Romeo Athletics Charity Marathon Row OR Run,U.S. Dollar,,of $20k goal,278,"The 3rd Annual Romeo Athletics Charity Row/Run will be held on
    Saturday, June 22nd 2019 at Romeo Athletics in Enfield, CT! On Saturday June 22nd, 2019, we are
  hosting our 3rd Annual Charity Marathon Row! Numerous teams of five
  people will be rowing a marathon (42,195 meters) at Romeo Athletics in
  Enfield, CT, to raise awareness and funds to help in the fight against
  ALS (amyotrophic lateral sclerosis). We
    are requiring each team of 5 people to raise a minimum of $500.00 for this event. All proceeds will go directly to
  Tucker Wood, a family member of the Romeo Athletics community who is
  currently battling ALS. ALS is a terminal neurodegenerative disease that affects 6,000
      new patients each year, and leaves them prisoners in their own bodies . On July 7, 2016, at only 33 years old,
  Tucker was diagnosed with ALS. The diagnosis came as a complete shock
  as his only symptom was cramping in his wrist which he attributed to a
  soccer injury. The doctor shared the unfortunate news that not only is there no cure and extremely limited FDA-approved
      treatment for ALS, but the life expectancy after diagnosis is 2-5
      years. Tucker has been a preschool teacher for
  the past 12 years while also pursuing his love of photography and
  music in his spare time. He loves to travel, cook, camp and spend time
  with friends and family. His happiest and top priority, though, is
  being a father. Despite the diagnosis, Tucker and his wife, Lauren,
  welcomed their beautiful, healthy and happy daughter Eloise, in
  February of 2018. ALS affects each person differently and
  for Tucker it began by affecting the use of his left arm and then
  moved to his right. To date Tucker has minimal use of his arms and
  lacks fine motor skills within his hands. His legs are still
  considered strong, however, his gait is affected due to other symptoms
  thus making him prone to trips and falls. Due to his progression, this
  Spring represents his last year of teaching and he will be unable to
  work moving forward. Without a cure, the inevitable
  progression will continue to limit Tucker's independence. He currently
  relies on his wife or others for simple daily tasks such as dressing
  and feeding himself. Unfortunately, driving and even walking will soon
  be activities of the past. All of the proceeds from the Charity Row will go directly the
      Wood family to alleviate the mounting medical bills and the
      expensive costs associated with Tucker’s day-to-day living and
      necessary care. The estimated yearly medical cost associated with caring for an
      ALS patient in the US is $150,000-$200,000. ALS,
  like cancer, can affect anyone. Young or old. Male or female. Every
  race, religion, and socio-economic class. It doesn’t discriminate
  based on who you know, where you grew up, or who your parents were.
  Nearly 90% of ALS patients have no family history of the disease. Thank you for supporting our charity event!  You are truly
    helping to make a difference.",https://fundrazr.com/romeoathleticscharityrow
